,Team,Chassis,Engine,Tires,{{Tooltip|No.|Car number}},Driver(s),Rounds,Season,Round(s),Drivers,,#,No,Tire,Ref(s),,No.
0,{{flagicon|USA}} ABF Motorsports,[[Lola T92/00]],[[Buick Indy V6 engine|Buick]],{{Goodyear}},96,{{flagicon|USA}} [[Paul Durant]],2–3,1996,,,,,,,,,
1,{{flagicon|USA}} [[A. J. Foyt Enterprises]],[[Lola T95/00]],[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Goodyear}},11,{{flagicon|USA}} [[Scott Sharp]]{{refn|name=Foyt1|group=N|#41 at [[1996 Indy 200 at Walt Disney World|Walt Disney World]].}},All,1996,,,,,,,,,
2,{{flagicon|USA}} [[A. J. Foyt Enterprises]],[[Lola T95/00]],[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Goodyear}},14,{{flagicon|USA}} [[Davey Hamilton]],All,1996,,,,,,,,,
3,{{flagicon|USA}} [[A. J. Foyt Enterprises]],[[Lola T95/00]],[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Goodyear}},41,{{flagicon|USA}} [[Mike Groff]]{{refn|name=Foyt2|group=N|#11 at [[1996 Indy 200 at Walt Disney World|Walt Disney World]].}},1–2,1996,,,,,,,,,
4,{{flagicon|USA}} [[A. J. Foyt Enterprises]],[[Lola T94/00]],[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Goodyear}},41,{{flagicon|BRA}} [[Marco Greco]],3,1996,,,,,,,,,
5,{{flagicon|USA}} [[Beck Motorsports]]/Zunne Group{{refn|name=NameWDW|group=N|At [[1996 Indy 200 at Walt Disney World|Walt Disney World]].}}<br>{{flagicon|USA}} [[Beck Motorsports]],[[Lola T94/00]]<br>[[Reynard 94I]]{{refn|name=WDW96|group=N|Used at [[1996 Indy 200 at Walt Disney World|Walt Disney World]].}},[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Firestone}},52,{{flagicon|JPN}} [[Hideshi Matsuda]],3,1996,,,,,,,,,
6,{{flagicon|USA}} [[Beck Motorsports]]/Zunne Group{{refn|name=NameWDW|group=N|At [[1996 Indy 200 at Walt Disney World|Walt Disney World]].}}<br>{{flagicon|USA}} [[Beck Motorsports]],[[Lola T94/00]]<br>[[Reynard 94I]]{{refn|name=WDW96|group=N|Used at [[1996 Indy 200 at Walt Disney World|Walt Disney World]].}},[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Firestone}},54,{{flagicon|USA}} [[Robbie Buhl]],"1, 3",1996,,,,,,,,,
7,{{flagicon|USA}} Blueprint Racing,[[Lola T93/00]],[[Team Menard|Menard]],{{Firestone}},16,{{flagicon|USA}} [[Johnny Parsons]],All,1996,,,,,,,,,
8,{{flagicon|USA}} Blueprint Racing,[[Lola T93/00]],[[Team Menard|Menard]],{{Firestone}},27,{{flagicon|USA}} [[Jim Guthrie (racing driver)|Jim Guthrie]],2–3,1996,,,,,,,,,
9,{{flagicon|USA}} Blueprint Racing,[[Lola T92/00]],[[Buick Indy V6 engine|Buick]],{{Firestone}},36,{{flagicon|USA}} [[Dan Drinan]]{{refn|name=roo1|group=N|[[Tyce Carlson]] and [[Andy Michner]] passed their Indianapolis rookie test in the car.}},2,1996,,,,,,,,,
