,Rd,Date,Race Name,Track,Location,Season,Rnd,City,,Race name,Rd.,Original date,Original<br>date,Time (ET)
0,1,January 27,[[Delphi Indy 200|Indy 200 at Walt Disney World]],[[Walt Disney World Speedway]],"[[Bay Lake, Florida]]",1996,,,,,,,,
1,2,March 24,[[XM Satellite Radio Indy 200|Dura Lube 200]],[[Phoenix International Raceway]],"[[Phoenix, Arizona]]",1996,,,,,,,,
2,3,May 26,[[1996 Indianapolis 500|80th Indianapolis 500]],[[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",1996,,,,,,,,
3,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1996|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1996|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League: 1996 IRL Schedule, Winners|url=https://www.newspapers.com/article/the-news-herald-indy-racing-league-1996/135330458/|work=[[The News Herald (North Carolina)|The News Herald]]|page=4B|date=June 6, 1996|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1996|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1996|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League: 1996 IRL Schedule, Winners|url=https://www.newspapers.com/article/the-news-herald-indy-racing-league-1996/135330458/|work=[[The News Herald (North Carolina)|The News Herald]]|page=4B|date=June 6, 1996|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1996|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1996|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League: 1996 IRL Schedule, Winners|url=https://www.newspapers.com/article/the-news-herald-indy-racing-league-1996/135330458/|work=[[The News Herald (North Carolina)|The News Herald]]|page=4B|date=June 6, 1996|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1996|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1996|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League: 1996 IRL Schedule, Winners|url=https://www.newspapers.com/article/the-news-herald-indy-racing-league-1996/135330458/|work=[[The News Herald (North Carolina)|The News Herald]]|page=4B|date=June 6, 1996|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1996|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1996|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League: 1996 IRL Schedule, Winners|url=https://www.newspapers.com/article/the-news-herald-indy-racing-league-1996/135330458/|work=[[The News Herald (North Carolina)|The News Herald]]|page=4B|date=June 6, 1996|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>",1996,,,,,,,,
0,,January 24,[[Walt Disney World Speedway#Indy Racing League 2|Indy 200 at Walt Disney World]],[[Walt Disney World Speedway]],"[[Bay Lake, Florida]]",1998,1,,,,,,,
1,,March 22,[[Desert Diamond West Valley Phoenix Grand Prix|Dura Lube 200]],[[Phoenix International Raceway]],"[[Avondale, Arizona]]",1998,2,,,,,,,
2,,May 24,[[1998 Indianapolis 500|82nd Indianapolis 500]],[[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",1998,3,,,,,,,
3,,June 6,[[Rainguard Water Sealers 600|True Value 500]],[[Texas Motor Speedway]],"[[Fort Worth, Texas]]",1998,4,,,,,,,
4,,June 28,[[New Hampshire Indy 225|New England 200]],[[New Hampshire International Speedway]],"[[Loudon, New Hampshire]]",1998,5,,,,,,,
5,,July 19,[[Dover International Speedway#Indy Racing League results|Pep Boys 400K]],[[Dover International Speedway]],"[[Dover, Delaware]]",1998,6,,,,,,,
