Rookie,DRIVER,Engine,Type,Track,Length,Year,Team,RaceInCareer,RaceWithTeam,RaceInSeason,AeroKit,AeroScreen,Hybrid
0,"NEWGARDEN, JOSEF",C,O,NASO,1.33,2025,PEN,231.0,149.0,17.0,0,1,1
0,"PALOU, ALEX",H,O,NASO,1.33,2025,CGR,98.0,84.0,17.0,0,1,1
0,"MCLAUGHLIN, SCOTT",C,O,NASO,1.33,2025,PEN,85.0,85.0,17.0,0,1,1
0,"SIMPSON, KYFFIN",H,O,NASO,1.33,2025,CGR,34.0,34.0,17.0,0,1,1
0,"DALY, CONOR",C,O,NASO,1.33,2025,JHR,131.0,22.0,17.0,0,1,1
0,"KIRKWOOD, KYLE",H,O,NASO,1.33,2025,AND,68.0,51.0,17.0,0,1,1
0,"ROSENQVIST, FELIX",H,O,NASO,1.33,2025,MSR,113.0,34.0,17.0,0,1,1
0,"FERRUCCI, SANTINO",C,O,NASO,1.33,2025,AJF,94.0,51.0,17.0,0,1,1
0,"ILOTT, CALLUM",C,O,NASO,1.33,2025,PRM,55.0,17.0,17.0,0,1,1
0,"ROSSI, ALEXANDER",C,O,NASO,1.33,2025,ECR,164.0,17.0,17.0,0,1,1
0,"HERTA, COLTON",H,O,NASO,1.33,2025,AND,116.0,116.0,17.0,0,1,1
0,"DIXON, SCOTT",H,O,NASO,1.33,2025,CGR,419.0,181.0,17.0,0,1,1
0,"VEEKAY, RINUS",H,O,NASO,1.33,2025,DCR,97.0,17.0,17.0,0,1,1
1,X,C,O,NASO,1.33,2025,PRM,17.0,17.0,17.0,0,1,1
0,"ERICSSON, MARCUS",H,O,NASO,1.33,2025,AND,114.0,34.0,17.0,0,1,1
0,"ROBB, STING RAY",C,O,NASO,1.33,2025,JHR,51.0,17.0,17.0,0,1,1
0,"SIEGEL, NOLAN",C,O,NASO,1.33,2025,AMC,29.0,27.0,17.0,0,1,1
0,"DEFRANCESCO, DEVLIN",H,O,NASO,1.33,2025,RLL,51.0,17.0,17.0,0,1,1
0,"ARMSTRONG, MARCUS",H,O,NASO,1.33,2025,MSR,46.0,46.0,17.0,0,1,1
1,X,H,O,NASO,1.33,2025,RLL,17.0,17.0,17.0,0,1,1
0,"POWER, WILL",C,O,NASO,1.33,2025,PEN,319.0,180.0,17.0,0,1,1
0,"RAHAL, GRAHAM",H,O,NASO,1.33,2025,RLL,309.0,180.0,17.0,0,1,1
1,X,H,O,NASO,1.33,2025,DCR,16.0,16.0,16.0,0,1,1
0,"O'WARD, PATO",C,O,NASO,1.33,2025,AMC,98.0,98.0,17.0,0,1,1
0,"LUNDGAARD, CHRISTIAN",C,O,NASO,1.33,2025,AMC,69.0,17.0,17.0,0,1,1
0,"MALUKAS, DAVID",C,O,NASO,1.33,2025,AJF,61.0,17.0,17.0,0,1,1
0,"RASMUSSEN, CHRISTIAN",C,O,NASO,1.33,2025,ECR,31.0,31.0,17.0,0,1,1
