Driver,Total Pts
"Palou, Alex",154
"Lundgaard, Christian",121
"Rahal, Graham",82
"Malukas, David",116
"Kirkwood, Kyle",156
"Armstrong, Marcus",98
"Dixon, Scott",85
"Ferrucci, Santino",62
"Ericsson, Marcus",99
"Newgarden, Josef",113
"Rossi, Alexander",83
"Power, Will",77
"Rosenqvist, Felix",65
"VeeKay, Rinus",62
"Grosjean, Romain",51
"McLaughlin, Scott",99
"O'Ward, Pato",106
"Siegel, Nolan",38
"Rasmussen, Christian",44
"Simpson, Kyffin",55
"Collet, Caio",51
"Robb, Sting Ray",35
"Hauger, Dennis",57
"Schumacher, Mick",31
"Foster, Louis",46
