,0
1334,1334
2023,2023
4194,4194
3062,3062
2388,2388
2437,2437
2179,2179
3919,3919
3585,3585
4211,4211
4468,4468
996,996
1170,1170
544,544
2171,2171
3832,3832
2073,2073
530,530
3928,3928
2121,2121
3362,3362
2086,2086
2589,2589
2015,2015
23,23
2249,2249
8,8
896,896
534,534
4163,4163
3078,3078
199,199
4148,4148
1626,1626
69,69
567,567
3443,3443
240,240
2830,2830
1102,1102
468,468
2259,2259
4223,4223
3451,3451
2218,2218
415,415
4155,4155
1437,1437
497,497
252,252
3469,3469
1025,1025
4283,4283
759,759
4450,4450
2463,2463
2226,2226
3116,3116
1242,1242
1580,1580
1146,1146
414,414
889,889
2274,2274
465,465
3244,3244
29,29
1448,1448
1374,1374
2211,2211
3639,3639
3319,3319
3253,3253
4257,4257
3767,3767
1891,1891
4326,4326
977,977
751,751
3167,3167
2990,2990
1991,1991
3263,3263
893,893
4387,4387
2505,2505
1814,1814
798,798
3553,3553
179,179
2678,2678
3651,3651
296,296
833,833
2587,2587
642,642
2104,2104
1235,1235
4047,4047
1161,1161
1554,1554
3209,3209
1074,1074
2318,2318
2922,2922
2510,2510
238,238
1614,1614
3931,3931
3912,3912
805,805
538,538
584,584
1784,1784
3226,3226
2559,2559
2741,2741
3390,3390
1042,1042
2042,2042
1129,1129
2446,2446
298,298
33,33
2603,2603
3564,3564
2415,2415
1649,1649
1057,1057
3754,3754
1485,1485
151,151
2004,2004
3074,3074
4112,4112
964,964
2223,2223
4533,4533
4103,4103
1787,1787
4149,4149
764,764
4425,4425
2462,2462
4126,4126
2445,2445
4017,4017
633,633
1412,1412
3816,3816
533,533
2429,2429
842,842
718,718
677,677
1020,1020
1103,1103
812,812
2284,2284
3238,3238
274,274
1846,1846
157,157
1456,1456
2867,2867
3940,3940
3164,3164
2676,2676
1491,1491
3996,3996
1588,1588
2979,2979
2057,2057
291,291
2370,2370
3963,3963
463,463
2399,2399
2829,2829
4151,4151
4380,4380
109,109
2569,2569
2302,2302
1476,1476
486,486
3509,3509
2325,2325
